index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2254,16,1.228294634998747,291.0,68021.0,True,4000,0.5,1000
2255,17,1.3046504339981766,291.0,72022.0,True,4000,0.5,1000
2256,18,1.381109475998528,291.0,76023.0,True,4000,0.5,1000
2257,19,1.4581833749980433,291.0,80024.0,True,4000,0.5,1000
2258,20,1.5345319049993122,291.0,84025.0,True,4000,0.5,1000
2259,21,1.610928256999614,291.0,88026.0,True,4000,0.5,1000
2260,22,1.6872070620011073,291.0,92027.0,True,4000,0.5,1000
2261,23,1.7635120339982677,291.0,96028.0,True,4000,0.5,1000
2262,24,1.839961036999739,291.0,100029.0,True,4000,0.5,1000
2263,25,1.916316145001474,291.0,104030.0,True,4000,0.5,1000
2264,26,1.9927194910014805,291.0,108031.0,True,4000,0.5,1000
2265,27,2.069178007001028,291.0,112032.0,True,4000,0.5,1000
2266,28,2.145614494998881,291.0,116033.0,True,4000,0.5,1000
2267,29,2.221895773000142,291.0,120034.0,True,4000,0.5,1000
2268,30,2.298108177001268,291.0,124035.0,True,4000,0.5,1000
2269,31,2.374204052001005,291.0,128036.0,True,4000,0.5,1000
2270,32,2.451012374000129,291.0,132037.0,True,4000,0.5,1000
2271,33,2.527882225000212,292.0,136039.0,True,4000,0.5,1000
2272,34,2.6050896310007374,293.0,140041.0,True,4000,0.5,1000
2273,35,2.6811503339995397,293.0,144042.0,True,4000,0.5,1000
2274,36,2.7577820750011597,293.0,148043.0,True,4000,0.5,1000
2275,37,2.8344339030008996,293.0,152044.0,True,4000,0.5,1000
2276,38,2.9107251599998563,294.0,156046.0,True,4000,0.5,1000
2277,39,2.9868986000001314,294.0,160047.0,True,4000,0.5,1000
2278,40,3.0631685970001854,294.0,164048.0,True,4000,0.5,1000
2279,41,3.1395113250000577,294.0,168049.0,True,4000,0.5,1000
2280,42,3.2153632839981583,294.0,172050.0,True,4000,0.5,1000
2281,43,3.2918968650010356,294.0,176051.0,True,4000,0.5,1000
2282,44,3.3685325080004986,294.0,180052.0,True,4000,0.5,1000
2283,45,3.444589183000062,294.0,184053.0,True,4000,0.5,1000
2284,46,3.5211567570004263,295.0,188055.0,True,4000,0.5,1000
2285,47,3.597994509000273,295.0,192056.0,True,4000,0.5,1000
2286,48,3.674668322000798,295.0,196057.0,True,4000,0.5,1000
2287,49,3.7514102409986663,295.0,200058.0,True,4000,0.5,1000
2288,50,3.8284372630005237,295.0,204059.0,True,4000,0.5,1000
2289,51,3.9044168219988933,295.0,208060.0,True,4000,0.5,1000
2290,52,3.9814340789998823,295.0,212061.0,True,4000,0.5,1000
2291,53,4.057777506001003,295.0,216062.0,True,4000,0.5,1000
2292,54,4.1340562969999155,295.0,220063.0,True,4000,0.5,1000
2293,55,4.210244507001335,295.0,224064.0,True,4000,0.5,1000
2294,56,4.2864700719983375,295.0,228065.0,True,4000,0.5,1000
2295,57,4.363510359999054,295.0,232066.0,True,4000,0.5,1000
2296,58,4.439942476001306,295.0,236067.0,True,4000,0.5,1000
2297,59,4.5161333739997644,295.0,240068.0,True,4000,0.5,1000
2298,60,4.593085840999265,295.0,244069.0,True,4000,0.5,1000
2299,61,4.669316085000901,295.0,248070.0,True,4000,0.5,1000
2300,62,4.745406250000087,295.0,252071.0,True,4000,0.5,1000
2301,63,4.821975753999141,295.0,256072.0,True,4000,0.5,1000
