index,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
121,1000,293.0,3053,3.236436554001557,"[20, 10, 5, 22, 22, 9, 17, 15, 2, 8, 7, 21, 0, 2, 10, 19, 3, 23, 18, 24, 11, 6, 1, 21, 4]",100,1000,9
123,1000,294.0,3461,3.9924929789995076,"[10, 15, 20, 3, 23, 2, 13, 2, 16, 21, 11, 22, 8, 18, 20, 5, 9, 6, 12, 17, 19, 0, 7, 14, 1]",100,1000,10
125,1000,294.0,3757,4.589160871000786,"[7, 20, 23, 16, 19, 0, 5, 15, 1, 12, 22, 22, 8, 11, 4, 15, 1, 18, 10, 13, 6, 17, 24, 14, 21]",100,1000,11
127,1000,290.0,3959,5.027172005000466,"[15, 17, 10, 14, 21, 5, 14, 20, 6, 0, 17, 2, 22, 6, 7, 9, 13, 18, 24, 4, 12, 9, 21, 3, 13]",100,1000,12
129,1000,294.0,4341,5.875188865000382,"[17, 0, 5, 18, 12, 15, 22, 12, 2, 6, 21, 9, 14, 1, 7, 10, 16, 13, 19, 8, 24, 20, 23, 13, 11]",100,1000,13
131,1000,296.0,4665,6.654333590999158,"[2, 15, 6, 23, 14, 16, 1, 10, 5, 2, 4, 12, 20, 22, 13, 13, 3, 7, 24, 19, 0, 9, 11, 18, 8]",100,1000,14
133,1000,296.0,4940,7.343798441001127,"[19, 10, 22, 5, 12, 9, 1, 2, 15, 21, 11, 4, 0, 24, 3, 20, 6, 8, 18, 23, 0, 17, 7, 20, 16]",100,1000,15
135,1000,297.0,5346,8.431495308999729,"[17, 1, 9, 11, 5, 23, 10, 3, 18, 20, 13, 2, 24, 19, 7, 0, 15, 1, 8, 0, 22, 4, 16, 12, 6]",100,1000,16
137,1000,295.0,5650,9.311031240999,"[5, 1, 16, 6, 3, 9, 24, 8, 21, 18, 2, 13, 22, 10, 7, 4, 23, 5, 20, 17, 0, 16, 9, 19, 1]",100,1000,17
139,1000,296.0,6110,10.701480552001158,"[0, 19, 10, 19, 24, 4, 18, 1, 3, 21, 15, 7, 2, 14, 12, 8, 20, 6, 1, 22, 17, 23, 9, 11, 16]",100,1000,18
141,1000,296.0,6543,12.103653725000186,"[7, 11, 24, 5, 12, 19, 3, 22, 11, 9, 4, 17, 23, 0, 6, 10, 21, 10, 15, 20, 16, 2, 0, 8, 14]",100,1000,19
143,1000,294.0,6947,13.486527593002393,"[3, 12, 15, 8, 22, 13, 4, 14, 4, 21, 10, 5, 24, 2, 6, 17, 19, 23, 11, 0, 7, 16, 20, 9, 1]",100,1000,20
145,1000,297.0,7387,15.051274076999107,"[8, 2, 17, 23, 18, 16, 4, 0, 24, 19, 14, 7, 1, 4, 11, 5, 3, 19, 13, 22, 20, 9, 21, 15, 10]",100,1000,21
147,1000,296.0,7907,17.038416718001827,"[13, 15, 4, 8, 0, 4, 16, 11, 6, 3, 22, 19, 19, 2, 9, 24, 22, 20, 18, 10, 1, 7, 5, 23, 17]",100,1000,22
149,1000,294.0,8175,18.11366648799958,"[17, 16, 22, 24, 10, 23, 9, 4, 4, 7, 21, 21, 14, 6, 15, 20, 5, 8, 22, 14, 3, 13, 0, 23, 18]",100,1000,23
151,1000,291.0,8382,18.973721345999365,"[16, 9, 21, 24, 8, 2, 7, 19, 3, 23, 20, 4, 14, 12, 10, 1, 5, 11, 1, 0, 2, 22, 17, 11, 9]",100,1000,24
153,1000,294.0,8601,19.906108504001168,"[12, 1, 11, 15, 19, 10, 3, 18, 2, 7, 20, 24, 14, 6, 13, 17, 22, 0, 5, 9, 4, 16, 21, 23, 9]",100,1000,25
155,1000,296.0,9011,21.690589919999184,"[8, 22, 19, 13, 16, 2, 19, 12, 9, 4, 17, 7, 10, 15, 21, 0, 20, 23, 12, 18, 6, 3, 14, 11, 5]",100,1000,26
157,1000,294.0,9241,22.715332694999233,"[16, 11, 15, 0, 3, 10, 23, 13, 6, 1, 22, 7, 14, 22, 19, 5, 18, 17, 12, 8, 2, 24, 9, 14, 4]",100,1000,27
159,1000,297.0,9582,24.279834707998816,"[12, 4, 22, 0, 0, 24, 8, 15, 3, 14, 10, 5, 13, 20, 18, 2, 5, 1, 23, 7, 11, 19, 21, 16, 6]",100,1000,28
161,1000,295.0,9997,27.457876791999297,"[3, 12, 16, 2, 0, 24, 1, 4, 9, 22, 18, 21, 10, 7, 0, 19, 8, 23, 5, 14, 20, 6, 13, 16, 6]",100,1000,29
163,1000,297.0,10376,29.308512648000033,"[21, 9, 3, 8, 6, 15, 1, 23, 19, 5, 14, 20, 24, 2, 5, 13, 22, 16, 4, 7, 23, 18, 12, 0, 17]",100,1000,30
165,1000,297.0,10794,31.465400801000214,"[1, 13, 7, 12, 8, 22, 17, 15, 0, 11, 16, 5, 10, 21, 24, 4, 19, 13, 3, 14, 20, 18, 2, 6, 23]",100,1000,31
167,1000,294.0,11081,32.976250486000936,"[0, 3, 23, 16, 9, 0, 16, 8, 15, 21, 7, 20, 18, 1, 19, 6, 5, 7, 2, 13, 24, 17, 14, 4, 22]",100,1000,32
169,1000,295.0,11361,34.47117766200245,"[0, 24, 14, 17, 9, 13, 6, 20, 1, 5, 21, 15, 3, 19, 17, 4, 11, 7, 10, 2, 22, 18, 16, 7, 23]",100,1000,33
171,1000,296.0,11696,36.31469278200166,"[12, 20, 1, 5, 0, 8, 17, 0, 3, 16, 19, 21, 6, 22, 13, 23, 14, 7, 4, 24, 11, 18, 15, 10, 2]",100,1000,34
173,1000,293.0,11895,37.43825743799971,"[22, 0, 7, 21, 16, 14, 10, 1, 23, 20, 5, 3, 18, 4, 11, 6, 12, 19, 3, 15, 17, 2, 24, 13, 8]",100,1000,35
175,1000,295.0,12263,41.47660403900227,"[22, 7, 19, 17, 15, 6, 2, 6, 18, 24, 8, 20, 4, 10, 0, 17, 5, 12, 9, 23, 3, 14, 16, 11, 1]",100,1000,36
177,1000,297.0,12626,43.64116578199901,"[11, 14, 19, 21, 24, 8, 12, 22, 1, 23, 0, 20, 7, 10, 13, 1, 17, 24, 18, 3, 5, 9, 16, 6, 15]",100,1000,37
179,1000,294.0,12918,45.38262043299983,"[23, 1, 14, 2, 9, 10, 22, 13, 19, 5, 18, 15, 7, 20, 24, 4, 2, 19, 3, 12, 4, 8, 0, 17, 6]",100,1000,38
