index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2605,59,3.569867644000624,3629.2300885906593,120093.0,True,2000,0.25,1000
2606,60,3.631443776001106,3629.2300885906593,122094.0,True,2000,0.25,1000
2607,61,3.692691652002395,3629.2300885906593,124095.0,True,2000,0.25,1000
2608,62,3.754368929003249,3629.2300885906593,126096.0,True,2000,0.25,1000
2609,63,3.8157590760019957,3629.2300885906593,128097.0,True,2000,0.25,1000
2610,64,3.877203007999924,3629.2300885906593,130098.0,True,2000,0.25,1000
2611,65,3.9386879930025316,3629.2300885906593,132099.0,True,2000,0.25,1000
2612,66,3.9999980190004862,3629.2300885906593,134100.0,True,2000,0.25,1000
2613,67,4.061480133001169,3629.2300885906593,136101.0,True,2000,0.25,1000
2614,68,4.123270588002924,3629.2300885906593,138102.0,True,2000,0.25,1000
2615,69,4.184865259001526,3629.2300885906593,140103.0,True,2000,0.25,1000
2616,70,4.246382482000627,3629.2300885906593,142104.0,True,2000,0.25,1000
2617,71,4.30743078100204,3629.2300885906593,144105.0,True,2000,0.25,1000
2618,72,4.369001738003135,3629.2300885906593,146106.0,True,2000,0.25,1000
2619,73,4.43049555700054,3629.2300885906593,148107.0,True,2000,0.25,1000
2620,74,4.491937225000584,3629.2300885906593,150108.0,True,2000,0.25,1000
2621,75,4.553285759000573,3629.2300885906593,152109.0,True,2000,0.25,1000
2622,76,4.6146389820023614,3629.2300885906593,154110.0,True,2000,0.25,1000
2623,77,4.676128611001332,3629.2300885906593,156111.0,True,2000,0.25,1000
2624,78,4.737793153002713,3629.2300885906593,158112.0,True,2000,0.25,1000
2625,79,4.799137988000439,3629.2300885906593,160113.0,True,2000,0.25,1000
